regime,tp_r,symbol,timeframe,bars,start,end,trades,wins,losses,win_rate,total_R,expectancy_R,profit_factor,total_pnl,return_pct,max_drawdown,max_drawdown_pct,avg_bars_held,buy_trades,sell_trades,buy_R,sell_R,tp_exits,sl_exits,unresolved,avg_sl_points,setups_detected,setups_entered,rejected_stops
live,1.0,audusd,M1,25361,2026-08-09 21:05:00+00:00,2026-09-03 05:38:00+00:00,0,0,0,,0.0,,,0.0,0.0,0.0,0.0,,0,0,0.0,0.0,0,0,0,,0,0,0
live,1.0,audusd,M5,20095,2026-05-17 21:05:00+00:00,2026-08-21 20:55:00+00:00,5,3,2,60.0,0.7761687230651062,0.15523374461302125,1.36965205751738,77.61687230651063,0.7761687230651063,-105.99400599400542,-1.0599400599400541,638.0,3,2,-1.125837518922971,1.9020062419880772,3,2,0,292.87999999999977,5,5,0
live,1.0,audusd,M15,22176,2025-09-30 21:00:00+00:00,2026-08-21 20:45:00+00:00,16,9,7,56.25,1.2044375973841541,0.07527734983650963,1.164307126040465,120.44375973841537,1.2044375973841537,-317.5766921732593,-3.1757669217325932,93.375,12,4,3.3678076274077826,-2.1633700300236294,9,7,0,324.137499999999,26,16,0
live,1.0,audusd,H1,22655,2023-01-01 23:00:00+00:00,2026-08-21 20:00:00+00:00,103,58,45,56.310679611650485,8.0220549849419,0.07788402898001844,1.1700391145549123,802.2054984941898,8.022054984941898,-545.1714862711797,-5.451714862711797,19.42718446601942,49,54,6.692657070279821,1.3293979146620767,58,45,0,304.27572815533955,166,107,0
live,1.0,audusd,H4,21210,2013-01-01 22:00:00+00:00,2026-08-21 17:00:00+00:00,278,154,124,55.39568345323741,19.88205858434993,0.07151819634658249,1.154491017549032,1988.205858434993,19.88205858434993,-1935.385491209914,-19.35385491209914,9.489208633093526,132,146,9.02796879706103,10.854089787288899,154,124,0,474.19712230215833,485,293,0
live,1.0,audusd,D1,6301,2002-05-07 00:00:00+00:00,2026-08-21 00:00:00+00:00,71,42,29,59.154929577464785,10.742153467688686,0.1512979361646294,1.3574215483058467,1074.2153467688686,10.742153467688686,-471.96301361019323,-4.719630136101932,3.112676056338028,41,30,5.518609476274489,5.223543991414198,42,29,0,591.7521126760564,216,71,0
live,1.0,eurgbp,M1,24741,2026-08-09 21:05:00+00:00,2026-09-03 05:37:00+00:00,0,0,0,,0.0,,,0.0,0.0,0.0,0.0,,0,0,0.0,0.0,0,0,0,,0,0,0
live,1.0,eurgbp,M5,20103,2026-05-17 21:05:00+00:00,2026-08-21 20:55:00+00:00,0,0,0,,0.0,,,0.0,0.0,0.0,0.0,,0,0,0.0,0.0,0,0,0,,0,0,0
live,1.0,eurgbp,M15,22176,2025-09-30 21:00:00+00:00,2026-08-21 20:45:00+00:00,4,2,2,50.0,-0.22241102808392454,-0.055602757020981136,0.8950606410724533,-22.24110280839247,-0.22241102808392468,-117.09706988658218,-1.1709706988658217,234.0,2,2,-0.12453974442277327,-0.09787128366115128,2,2,0,277.9000000000003,6,4,0
live,1.0,eurgbp,H1,22655,2023-01-01 23:00:00+00:00,2026-08-21 20:00:00+00:00,39,21,18,53.84615384615385,0.24439713847445366,0.00626659329421676,1.0127084617173459,24.43971384744549,0.24439713847445488,-948.6700208211314,-9.486700208211314,34.35897435897436,22,17,0.2258718083824054,0.01852533009204882,21,18,0,294.88717948717874,55,39,0
live,1.0,eurgbp,H4,21210,2013-01-01 22:00:00+00:00,2026-08-21 17:00:00+00:00,220,121,99,55.00000000000001,12.621242729214924,0.05736928513279511,1.1229093725429349,1262.1242729214919,12.621242729214918,-2168.9949374768894,-21.689949374768894,13.477272727272727,113,107,14.422465762233212,-1.801223033018292,121,99,0,472.0672727272725,358,231,0
live,1.0,eurgbp,D1,6301,2002-05-08 00:00:00+00:00,2026-08-21 00:00:00+00:00,73,47,26,64.38356164383562,15.08031708451652,0.2065796860892674,1.5021973433895799,1508.0317084516519,15.080317084516517,-770.3888523696569,-7.703888523696569,4.835616438356165,28,45,8.882153724852943,6.198163359663577,47,26,0,540.5082191780823,183,77,0
live,1.0,eurusd,M1,25837,2026-08-09 21:05:00+00:00,2026-09-03 05:39:00+00:00,0,0,0,,0.0,,,0.0,0.0,0.0,0.0,,0,0,0.0,0.0,0,0,0,,0,0,0
live,1.0,eurusd,M5,20103,2026-05-17 21:05:00+00:00,2026-08-21 20:55:00+00:00,7,4,3,57.14285714285714,0.650928454496016,0.09298977921371657,1.207205850197669,65.09284544960164,0.6509284544960164,-104.66853408029783,-1.0466853408029784,177.42857142857142,5,2,-1.2229101243170697,1.8738385788130858,4,3,0,276.2000000000058,7,7,0
live,1.0,eurusd,M15,22176,2025-09-30 21:00:00+00:00,2026-08-21 20:45:00+00:00,22,13,9,59.09090909090909,1.8550828313998964,0.08432194688181348,1.192714911956831,185.50828313998974,1.8550828313998975,-350.496085206134,-3.5049608520613402,45.54545454545455,12,10,-5.552424462468367,7.407507293868264,12,9,1,225.36363636363714,30,22,0
