config,symbol,timeframe,bars,start,end,trades,wins,losses,win_rate,total_R,expectancy_R,profit_factor,total_pnl,return_pct,max_drawdown,max_drawdown_pct,avg_bars_held,buy_trades,sell_trades,buy_R,sell_R,tp_exits,sl_exits,unresolved,avg_sl_points,setups_detected,setups_entered,rejected_stops
atr_live_spread,audusd,M5,20095,2026-05-17 21:05:00+00:00,2026-08-21 20:55:00+00:00,197,89,108,45.17766497461929,-118.77403721178837,-0.6029138944760831,0.3031164119929975,-11877.403721178838,-118.77403721178838,-11776.916856802145,-117.76916856802144,5.375634517766497,89,108,-51.943080584838256,-66.83095662695013,100,97,0,34.7664974619289,430,202,0
atr_live_spread,audusd,M15,22176,2025-09-30 21:00:00+00:00,2026-08-21 20:45:00+00:00,243,127,116,52.2633744855967,-57.59993114878313,-0.237036753698696,0.6228826699307985,-5759.993114878313,-57.59993114878312,-6539.981417634824,-65.39981417634823,7.246913580246914,130,113,-19.73548116599438,-37.864449982788756,130,113,0,66.52757201646057,527,258,0
atr_live_spread,audusd,H1,22655,2023-01-01 23:00:00+00:00,2026-08-21 20:00:00+00:00,246,147,99,59.756097560975604,6.532975442507011,0.026556810741898418,1.0527844340054677,653.2975442507015,6.532975442507015,-1539.763925406436,-15.39763925406436,5.90650406504065,136,110,3.9316456215762896,2.601329820930727,148,98,0,153.49756097560984,517,251,0
atr_live_spread,audusd,H4,21210,2013-01-01 22:00:00+00:00,2026-08-21 17:00:00+00:00,303,170,133,56.10561056105611,18.7411751702434,0.06185206326813004,1.1305201470019424,1874.1175170243403,18.7411751702434,-2189.4802889743896,-21.894802889743897,6.3927392739273925,147,156,11.806283012313276,6.934892157930129,170,133,0,396.6448844884487,599,315,0
atr_live_spread,audusd,D1,6301,2002-05-07 00:00:00+00:00,2026-08-21 00:00:00+00:00,101,56,45,55.44554455445545,8.751405544964802,0.08664757965311685,1.1902655010966172,875.1405544964803,8.751405544964802,-557.8291892919333,-5.578291892919332,4.792079207920792,52,49,8.618333863920881,0.13307168104392275,56,45,0,980.545544554455,198,102,0
atr_live_spread,eurgbp,M5,20103,2026-05-17 21:05:00+00:00,2026-08-21 20:55:00+00:00,117,37,80,31.62393162393162,-232.91829746723795,-1.990754679207162,0.05039832441214264,-23291.829746723794,-232.91829746723795,-23368.17317613269,-233.6817317613269,4.401709401709402,50,67,-118.72478558651264,-114.19351188072532,62,55,0,17.418803418804607,249,120,0
atr_live_spread,eurgbp,M15,22176,2025-09-30 21:00:00+00:00,2026-08-21 20:45:00+00:00,152,70,82,46.05263157894737,-96.23692562388666,-0.6331376685782018,0.3065605151495679,-9623.692562388664,-96.23692562388663,-9826.333224339753,-98.26333224339753,8.078947368421053,68,84,-58.05706975253476,-38.17985587135189,79,72,1,43.190789473684276,336,160,0
atr_live_spread,eurgbp,H1,22655,2023-01-01 23:00:00+00:00,2026-08-21 20:00:00+00:00,170,89,81,52.352941176470594,-41.12904960400061,-0.24193558590588596,0.6347194015789229,-4112.904960400061,-41.12904960400061,-4460.92153229607,-44.6092153229607,8.217647058823529,88,82,-25.34394351261422,-15.785106091386385,92,78,0,100.84470588235267,369,171,0
atr_live_spread,eurgbp,H4,21210,2013-01-01 22:00:00+00:00,2026-08-21 17:00:00+00:00,239,138,101,57.74058577405857,20.22538848692347,0.08462505643064214,1.1857791242684192,2022.5388486923466,20.225388486923464,-1363.4470684194566,-13.634470684194566,6.154811715481172,109,130,10.726918341531407,9.498470145392064,138,101,0,338.26569037656867,497,244,0
atr_live_spread,eurgbp,D1,6301,2002-05-08 00:00:00+00:00,2026-08-21 00:00:00+00:00,88,55,33,62.5,15.751686624271851,0.17899643891218012,1.4227708752454242,1575.1686624271852,15.751686624271851,-685.5568063451901,-6.855568063451901,4.806818181818182,39,49,5.570724212938355,10.180962411333498,55,33,0,705.5329545454543,177,90,0
