fill_fraction,trades,win_rate,total_R,expectancy_R,profitable_datasets,datasets
0.0,4363.0,52.051340820536325,178.09428129829985,0.04081922560126056,26.0,48.0
0.1,4430.0,52.66365688487585,235.1111111111111,0.053072485578128915,30.0,48.0
0.2,4467.0,53.682561002910234,328.1284666879184,0.07345611522003993,33.0,48.0
0.3,4505.0,54.983351831298556,448.14637305699483,0.09947755228790119,35.0,48.0
0.4,4534.0,56.0652845169828,549.1648568608094,0.1211214946759615,34.0,48.0
0.5,4566.0,57.55584756898817,689.1839464882943,0.15093822743939866,36.0,48.0
0.75,4608.0,61.067708333333336,1019.234524847428,0.2211880479269592,39.0,48.0
1.0,4550.0,65.14285714285714,1377.2896174863388,0.3027010148321624,41.0,48.0
