fill_fraction,symbol,timeframe,bars,start,end,trades,wins,losses,win_rate,total_R,expectancy_R,profit_factor,total_pnl,return_pct,max_drawdown,max_drawdown_pct,avg_bars_held,buy_trades,sell_trades,buy_R,sell_R,tp_exits,sl_exits,unresolved,avg_sl_points,setups_detected,setups_entered,rejected_stops
0.2,audusd,M15,22176,2025-09-30 21:00:00+00:00,2026-08-21 20:45:00+00:00,16,9,7,56.25,1.2044375973841541,0.07527734983650963,1.164307126040465,120.44375973841537,1.2044375973841537,-317.5766921732593,-3.1757669217325932,93.375,12,4,3.3678076274077826,-2.1633700300236294,9,7,0,324.137499999999,26,16,0
0.3,audusd,M15,22176,2025-09-30 21:00:00+00:00,2026-08-21 20:45:00+00:00,16,9,7,56.25,1.1922144306252886,0.07451340191408054,1.162510960578998,119.2214430625288,1.192214430625288,-317.97674693476074,-3.1797674693476075,93.375,12,4,3.357544810792664,-2.165330380167376,9,7,0,321.5187499999987,26,16,0
0.4,audusd,M15,22176,2025-09-30 21:00:00+00:00,2026-08-21 20:45:00+00:00,16,9,7,56.25,1.1793782789111034,0.07371114243194396,1.1606280731134928,117.93782789111037,1.1793782789111038,-318.3992197327516,-3.183992197327516,93.25,12,4,3.346722776271065,-2.167344497359962,9,7,0,318.89999999999765,26,16,0
0.5,audusd,M15,22176,2025-09-30 21:00:00+00:00,2026-08-21 20:45:00+00:00,16,9,7,56.25,1.1658722971404454,0.07286701857127784,1.1586506252312943,116.58722971404458,1.1658722971404458,-318.84630862095946,-3.1884630862095946,93.125,12,4,3.3352870241142054,-2.16941472697376,9,7,0,316.28124999999795,26,16,0
0.75,audusd,M15,22176,2025-09-30 21:00:00+00:00,2026-08-21 20:45:00+00:00,16,9,7,56.25,1.1287270281574697,0.07054543925984186,1.1532314767648946,112.87270281574703,1.1287270281574704,-320.08918758517757,-3.200891875851776,92.25,12,4,3.3035795160720065,-2.1748524879145363,9,7,0,309.73437499999875,26,16,0
1.0,audusd,M15,22176,2025-09-30 21:00:00+00:00,2026-08-21 20:45:00+00:00,16,10,6,62.5,3.0856432508278524,0.19285270317674078,1.485893411836429,308.5643250827852,3.0856432508278524,-321.5540667166424,-3.215540667166424,81.0,12,4,3.2663434229005035,-0.18070017207265177,10,6,0,303.18749999999886,26,16,0
0.0,audusd,H1,22655,2023-01-01 23:00:00+00:00,2026-08-21 20:00:00+00:00,99,56,43,56.56565656565656,8.37910472979608,0.08463742151309171,1.1861461566437845,837.9104729796077,8.379104729796076,-543.5512100115502,-5.435512100115502,22.1010101010101,47,52,8.816251163781075,-0.43714643398499775,56,43,0,308.82828282828206,166,107,0
0.1,audusd,H1,22655,2023-01-01 23:00:00+00:00,2026-08-21 20:00:00+00:00,99,56,43,56.56565656565656,8.276750740909305,0.08360354283746774,1.18364282294772,827.6750740909305,8.276750740909304,-544.3356199592818,-5.4433561995928175,22.03030303030303,47,52,8.778414820484569,-0.5016640795752625,56,43,0,303.8474747474738,166,107,0
0.2,audusd,H1,22655,2023-01-01 23:00:00+00:00,2026-08-21 20:00:00+00:00,103,58,45,56.310679611650485,8.0220549849419,0.07788402898001844,1.1700391145549123,802.2054984941898,8.022054984941898,-545.1714862711797,-5.451714862711797,19.42718446601942,49,54,6.692657070279821,1.3293979146620767,58,45,0,304.27572815533955,166,107,0
0.3,audusd,H1,22655,2023-01-01 23:00:00+00:00,2026-08-21 20:00:00+00:00,103,58,45,56.310679611650485,7.888496425795756,0.07658734393976462,1.1669372227958184,788.8496425795761,7.88849642579576,-546.065406206988,-5.46065406206988,19.019417475728154,49,54,6.644712501731865,1.2437839240638957,58,45,0,299.3650485436882,166,107,0
