fill_fraction,symbol,timeframe,bars,start,end,trades,wins,losses,win_rate,total_R,expectancy_R,profit_factor,total_pnl,return_pct,max_drawdown,max_drawdown_pct,avg_bars_held,buy_trades,sell_trades,buy_R,sell_R,tp_exits,sl_exits,unresolved,avg_sl_points,setups_detected,setups_entered,rejected_stops
0.4,audusd,H1,22655,2023-01-01 23:00:00+00:00,2026-08-21 20:00:00+00:00,103,58,45,56.310679611650485,13.0,0.1262135922330097,1.288888888888889,1300.0,13.0,-500.0,-5.0,18.59223300970874,49,54,9.0,4.0,58,45,0,294.4543689320379,166,107,0
0.5,audusd,H1,22655,2023-01-01 23:00:00+00:00,2026-08-21 20:00:00+00:00,103,58,45,56.310679611650485,13.0,0.1262135922330097,1.288888888888889,1300.0,13.0,-500.0,-5.0,18.42718446601942,49,54,9.0,4.0,58,45,0,289.5436893203879,166,107,0
0.75,audusd,H1,22655,2023-01-01 23:00:00+00:00,2026-08-21 20:00:00+00:00,103,63,40,61.165048543689316,23.0,0.22330097087378642,1.575,2300.0,23.0,-500.0,-5.0,17.563106796116504,49,54,15.0,8.0,63,40,0,277.26699029126166,166,107,0
1.0,audusd,H1,22655,2023-01-01 23:00:00+00:00,2026-08-21 20:00:00+00:00,101,63,38,62.37623762376238,25.0,0.24752475247524752,1.6578947368421053,2500.0,25.0,-500.0,-5.0,17.415841584158414,48,53,14.0,11.0,63,38,0,271.0891089108907,166,105,0
0.0,audusd,H4,21210,2013-01-01 22:00:00+00:00,2026-08-21 17:00:00+00:00,276,149,127,53.985507246376805,22.0,0.07971014492753623,1.1732283464566928,2200.0,22.0,-1900.0,-19.0,9.97463768115942,131,145,7.0,15.0,149,127,0,492.54347826086934,485,294,0
0.1,audusd,H4,21210,2013-01-01 22:00:00+00:00,2026-08-21 17:00:00+00:00,276,149,127,53.985507246376805,22.0,0.07971014492753623,1.1732283464566928,2200.0,22.0,-1900.0,-19.0,9.858695652173912,131,145,7.0,15.0,149,127,0,482.52065217391277,485,294,0
0.2,audusd,H4,21210,2013-01-01 22:00:00+00:00,2026-08-21 17:00:00+00:00,278,154,124,55.39568345323741,30.0,0.1079136690647482,1.2419354838709677,3000.0,30.0,-1800.0,-18.0,9.489208633093526,132,146,14.0,16.0,154,124,0,474.19712230215833,485,293,0
0.3,audusd,H4,21210,2013-01-01 22:00:00+00:00,2026-08-21 17:00:00+00:00,281,160,121,56.93950177935944,39.0,0.1387900355871886,1.322314049586777,3900.0,39.0,-1800.0,-18.0,9.373665480427047,133,148,17.0,22.0,160,121,0,467.9535587188606,485,295,0
0.4,audusd,H4,21210,2013-01-01 22:00:00+00:00,2026-08-21 17:00:00+00:00,281,165,116,58.718861209964416,49.0,0.17437722419928825,1.4224137931034482,4900.0,49.0,-1800.0,-18.0,8.907473309608541,133,148,23.0,26.0,165,116,0,460.6683274021348,485,294,0
0.5,audusd,H4,21210,2013-01-01 22:00:00+00:00,2026-08-21 17:00:00+00:00,281,168,113,59.7864768683274,55.0,0.19572953736654805,1.4867256637168142,5500.0,55.00000000000001,-1500.0,-15.0,8.654804270462634,134,147,24.0,31.0,168,113,0,454.37188612099624,485,294,0
0.75,audusd,H4,21210,2013-01-01 22:00:00+00:00,2026-08-21 17:00:00+00:00,280,175,105,62.5,70.0,0.25,1.6666666666666667,7000.0,70.0,-1300.0,-13.0,8.239285714285714,134,146,28.0,42.0,175,105,0,441.6937499999993,485,291,0
1.0,audusd,H4,21210,2013-01-01 22:00:00+00:00,2026-08-21 17:00:00+00:00,279,188,91,67.38351254480287,97.0,0.34767025089605735,2.065934065934066,9700.0,97.0,-900.0,-9.0,7.508960573476703,132,147,36.0,61.0,188,91,0,430.89426523297413,485,286,0
0.0,audusd,D1,6301,2002-05-07 00:00:00+00:00,2026-08-21 00:00:00+00:00,61,36,25,59.01639344262295,11.0,0.18032786885245902,1.44,1100.0,11.0,-300.0,-3.0,2.5737704918032787,33,28,7.0,4.0,36,25,0,586.9754098360652,216,61,0
0.1,audusd,D1,6301,2002-05-07 00:00:00+00:00,2026-08-21 00:00:00+00:00,70,40,30,57.14285714285714,10.0,0.14285714285714285,1.3333333333333333,1000.0,10.0,-400.0,-4.0,3.2142857142857144,41,29,7.0,3.0,40,30,0,614.9492857142855,216,70,0
0.2,audusd,D1,6301,2002-05-07 00:00:00+00:00,2026-08-21 00:00:00+00:00,71,42,29,59.154929577464785,13.0,0.18309859154929578,1.4482758620689655,1300.0,13.0,-400.0,-4.0,3.112676056338028,41,30,7.0,6.0,42,29,0,591.7521126760564,216,71,0
0.3,audusd,D1,6301,2002-05-07 00:00:00+00:00,2026-08-21 00:00:00+00:00,71,42,29,59.154929577464785,13.0,0.18309859154929578,1.4482758620689655,1300.0,13.0,-400.0,-4.0,3.0140845070422535,41,30,7.0,6.0,42,29,0,561.9485915492952,216,71,0
0.4,audusd,D1,6301,2002-05-07 00:00:00+00:00,2026-08-21 00:00:00+00:00,70,42,28,60.0,14.0,0.2,1.5,1400.0,14.000000000000002,-400.0,-4.0,2.842857142857143,40,30,8.0,6.0,42,28,0,539.9042857142852,216,70,0
0.5,audusd,D1,6301,2002-05-07 00:00:00+00:00,2026-08-21 00:00:00+00:00,73,44,29,60.273972602739725,15.0,0.2054794520547945,1.5172413793103448,1500.0,15.0,-300.0,-3.0,2.7534246575342465,42,31,8.0,7.0,44,29,0,529.6027397260265,216,73,0
0.75,audusd,D1,6301,2002-05-07 00:00:00+00:00,2026-08-21 00:00:00+00:00,74,48,26,64.86486486486487,22.0,0.2972972972972973,1.8461538461538463,2200.0,22.0,-400.0,-4.0,2.7162162162162162,42,32,14.0,8.0,48,26,0,521.6739864864861,216,74,0
1.0,audusd,D1,6301,2002-05-07 00:00:00+00:00,2026-08-21 00:00:00+00:00,74,49,25,66.21621621621621,24.0,0.32432432432432434,1.96,2400.0,24.0,-400.0,-4.0,2.7162162162162162,44,30,14.0,10.0,49,25,0,512.6959459459449,216,74,0
0.0,eurgbp,M5,20103,2026-05-17 21:05:00+00:00,2026-08-21 20:55:00+00:00,0,0,0,,0.0,,,0.0,0.0,0.0,0.0,,0,0,0.0,0.0,0,0,0,,0,0,0
0.1,eurgbp,M5,20103,2026-05-17 21:05:00+00:00,2026-08-21 20:55:00+00:00,0,0,0,,0.0,,,0.0,0.0,0.0,0.0,,0,0,0.0,0.0,0,0,0,,0,0,0
0.2,eurgbp,M5,20103,2026-05-17 21:05:00+00:00,2026-08-21 20:55:00+00:00,0,0,0,,0.0,,,0.0,0.0,0.0,0.0,,0,0,0.0,0.0,0,0,0,,0,0,0
0.3,eurgbp,M5,20103,2026-05-17 21:05:00+00:00,2026-08-21 20:55:00+00:00,0,0,0,,0.0,,,0.0,0.0,0.0,0.0,,0,0,0.0,0.0,0,0,0,,0,0,0
0.4,eurgbp,M5,20103,2026-05-17 21:05:00+00:00,2026-08-21 20:55:00+00:00,0,0,0,,0.0,,,0.0,0.0,0.0,0.0,,0,0,0.0,0.0,0,0,0,,0,0,0
0.5,eurgbp,M5,20103,2026-05-17 21:05:00+00:00,2026-08-21 20:55:00+00:00,0,0,0,,0.0,,,0.0,0.0,0.0,0.0,,0,0,0.0,0.0,0,0,0,,0,0,0
0.75,eurgbp,M5,20103,2026-05-17 21:05:00+00:00,2026-08-21 20:55:00+00:00,0,0,0,,0.0,,,0.0,0.0,0.0,0.0,,0,0,0.0,0.0,0,0,0,,0,0,0
1.0,eurgbp,M5,20103,2026-05-17 21:05:00+00:00,2026-08-21 20:55:00+00:00,0,0,0,,0.0,,,0.0,0.0,0.0,0.0,,0,0,0.0,0.0,0,0,0,,0,0,0
