regime,tp_r,trades,win_rate,breakeven_win_rate,total_R,expectancy_R,R_per_10k_bars,avg_bars_held,profitable_datasets,unresolved
live,1.0,3984,54.01606425702811,50.0,99.73917973848803,0.02503493467331527,1.400085905655389,11.169427710843374,24,1
live,1.25,3942,49.54337899543379,44.44444444444444,236.9899737039678,0.06011922214712526,3.3267400316961586,13.613394216133942,27,2
live,1.5,3889,44.895860118282336,40.0,263.8313741152056,0.06784041504633727,3.7035254283914267,15.95294420159424,28,3
live,2.0,3767,38.65144677462172,33.333333333333336,393.3513066862369,0.10442030971230075,5.521657806957208,21.752057340058403,32,6
live,2.5,3654,34.099616858237546,28.571428571428573,503.4048900336672,0.13776816913893464,7.0665318606200795,28.130268199233715,34,6
live,3.0,3552,30.54617117117117,25.0,585.472310041566,0.16482891611530573,8.218550940462393,32.6036036036036,33,6
live,4.0,3365,24.517087667161963,20.0,561.5692177496013,0.16688535445753383,7.883011960622103,42.82496285289747,31,7
live,5.0,3227,21.0412147505423,16.666666666666668,646.9472674578851,0.20047947550600717,9.081503910950282,52.91664084288813,32,7
live,6.0,3088,18.00518134715026,14.285714285714286,604.3008406359081,0.19569327740800133,8.482855904454064,60.85071243523316,28,10
live,8.0,2872,14.032033426183844,11.11111111111111,535.6432740014767,0.1865053182456395,7.519077260860816,77.07973537604457,27,13
live,10.0,2724,12.151248164464024,9.090909090909092,675.8989162409048,0.24812735544820294,9.487911859289856,90.42400881057269,27,15
upstream,1.0,4080,65.31862745098039,50.0,1249.2896174863388,0.30619843565841637,17.536867559070927,9.33014705882353,38,1
upstream,1.25,4046,60.207612456747405,44.44444444444444,1434.0396174863322,0.35443391435648347,20.130290442114834,11.715768660405338,36,1
upstream,1.5,4006,56.16575137294059,40.0,1617.0172597627597,0.40364884167817267,22.69883390390171,14.022216674987519,37,2
upstream,2.0,3890,49.0745501285347,33.333333333333336,1834.0465741074559,0.47147726840808635,25.745376746190665,18.71233933161954,37,6
upstream,2.5,3780,43.17460317460318,28.571428571428573,1927.0465741074568,0.5098006809808087,27.050861607479398,25.515079365079366,38,6
upstream,3.0,3684,39.30510314875136,25.0,2101.046574107456,0.5703166596382888,29.49338167053571,31.18756786102063,37,6
upstream,4.0,3482,32.7972429638139,20.0,2218.718300150952,0.6371965250289925,31.145195186143216,40.07955198161976,36,6
upstream,5.0,3339,28.00239592692423,16.666666666666668,2257.718300150952,0.6761660078319712,31.692656579586878,48.282120395327944,38,6
upstream,6.0,3224,24.937965260545905,14.285714285714286,2377.4949408650427,0.7374363960499513,33.37401777515961,55.790942928039705,37,11
upstream,8.0,3006,20.02661343978709,11.11111111111111,2364.8584459461626,0.7867127232023162,33.196633336274125,71.81703260146374,31,12
upstream,10.0,2780,16.97841726618705,9.090909090909092,2330.0250241986523,0.8381384979131843,32.70766016683047,88.12086330935252,32,16
